date,category,title,amount
2023-03-04,eletrônicos,Magalu *Magazineluiza 2/10,117.9
2023-03-04,outros,Ebw *Shein 4/5,63.34
2023-03-05,eletrônicos,Magalu*Magazineluiza,3.95
2023-03-06,vestuário,Polo Italy,19.99
2023-03-13,supermercado,Bankai Sushi Farolandi,17.5
2023-03-16,transporte,99app *99app,8.9
2023-03-16,transporte,99app *99app,8.7
2023-03-21,educação,Farolandia Papelaria,28.8
2023-03-23,transporte,99app *99app,12.3
2023-03-23,transporte,99app *99app,8.9
2023-03-26,casa,G Barbosa,22.49
2023-03-27,supermercado,Bobs,8
2023-03-28,serviços,Ebn*Spotify,9.9
2023-03-30,transporte,99app *99app,8.9
2023-03-30,transporte,99app *99app,12.5
2023-03-30,casa,G Barbosa,9.18
2023-03-31,educação,Set Campus Aracaju Far,793.1
2023-04-03,restaurante,Ifood *Ifd*Acai Conc,4.99
2023-04-03,casa,G Barbosa,7.98
2023-04-03,restaurante,Ifood *Ifd*El Chijol,4.99
