date,category,title,amount
2022-12-04,casa,G Barbosa,16.28
2022-12-05,restaurante,Ifood *Ifood,12.99
2022-12-11,educação,Universidades Estacio,233.25
2022-12-11,transporte,99app *99app,7.4
2022-12-11,restaurante,Ifood *Ifood,16.99
2022-12-11,restaurante,Burger King Shopping R,29.8
2022-12-12,outros,Shopee*Yt Atum 1/3,10.66
2022-12-12,outros,Ebw *Shein 1/5,63.36
2022-12-15,casa,G Barbosa,19.76
2022-12-17,restaurante,Ifood *Ifood,15.99
2022-12-21,supermercado,Pag*Acarajedomarcelo,10
2022-12-23,supermercado,Ifood *Ifood,20.89
2022-12-24,casa,G Barbosa,10.18
2022-12-27,transporte,Uber *Uber *Trip,29.99
2022-12-29,serviços,Zp *Adelivery,15.55
2023-01-02,restaurante,Ifood *Ifd*Hamburgue,13.98
